35d1830a9dbe5ffe03fce9653b9eb88519dd5ae2,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/35d1830a9dbe5ffe03fce9653b9eb88519dd5ae2/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/35d1830a9dbe5ffe03fce9653b9eb88519dd5ae2/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/35d1830a9dbe5ffe03fce9653b9eb88519dd5ae2/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/35d1830a9dbe5ffe03fce9653b9eb88519dd5ae2/github-settings.env
https://github.com/Hygieia/Hygieia/raw/35d1830a9dbe5ffe03fce9653b9eb88519dd5ae2/jira-settings.env
"
b124bee10398a8fb99b8e5dce46e16f836a38395,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/b124bee10398a8fb99b8e5dce46e16f836a38395/jira-settings.env
"
ea12e0a20ff6b0e7330d4fcf6f53e5c2a99a4d80,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/ea12e0a20ff6b0e7330d4fcf6f53e5c2a99a4d80/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/b0e55c58504a00c501ff6b93b3f26424a3a88c73/jira-feature-collector/docker/properties-builder.sh
"
b0e55c58504a00c501ff6b93b3f26424a3a88c73,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/b0e55c58504a00c501ff6b93b3f26424a3a88c73/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/b0e55c58504a00c501ff6b93b3f26424a3a88c73/jira-feature-collector/docker/properties-builder.sh
"
243d29e2d8f18b0c653d4a04f61ec890a0b6dcd6,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/243d29e2d8f18b0c653d4a04f61ec890a0b6dcd6/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/243d29e2d8f18b0c653d4a04f61ec890a0b6dcd6/jira-feature-collector/docker/properties-builder.sh
"
cf1ae4b0b6ecd34a5f2dcc052962b208c3c5c82d,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/30be4c37ff920c207a4466b67d08d39d3285214a/github-scm-collector/docker/README.md
https://github.com/Hygieia/Hygieia/raw/30be4c37ff920c207a4466b67d08d39d3285214a/github-scm-collector/docker/properties-builder.sh
"
30be4c37ff920c207a4466b67d08d39d3285214a,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/30be4c37ff920c207a4466b67d08d39d3285214a/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/30be4c37ff920c207a4466b67d08d39d3285214a/github-scm-collector/docker/README.md
https://github.com/Hygieia/Hygieia/raw/30be4c37ff920c207a4466b67d08d39d3285214a/github-scm-collector/docker/properties-builder.sh
"
603455b74206e4e016f03e5f1f9c53c1adc49b44,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/603455b74206e4e016f03e5f1f9c53c1adc49b44/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/603455b74206e4e016f03e5f1f9c53c1adc49b44/jira-feature-collector/README.md
https://github.com/Hygieia/Hygieia/raw/603455b74206e4e016f03e5f1f9c53c1adc49b44/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/603455b74206e4e016f03e5f1f9c53c1adc49b44/jira-feature-collector/docker/jira-properties-builder.sh
"
2d73207c560c07c2dddb7b0ed6a9545ac5a3dfac,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/2d73207c560c07c2dddb7b0ed6a9545ac5a3dfac/jira-settings.env
"
121fa2f7e555620bb4b765b82252b68ee1a57e31,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/121fa2f7e555620bb4b765b82252b68ee1a57e31/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/121fa2f7e555620bb4b765b82252b68ee1a57e31/jira-feature-collector/docker/properties-builder.sh
"
1ab28d934415b9f628d1fb4a2655b87b8c7f94b3,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/1ab28d934415b9f628d1fb4a2655b87b8c7f94b3/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/1ab28d934415b9f628d1fb4a2655b87b8c7f94b3/jira-feature-collector/docker/.gitignore
https://github.com/Hygieia/Hygieia/raw/1ab28d934415b9f628d1fb4a2655b87b8c7f94b3/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/1ab28d934415b9f628d1fb4a2655b87b8c7f94b3/jira-feature-collector/docker/properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/1ab28d934415b9f628d1fb4a2655b87b8c7f94b3/jira-feature-collector/pom.xml
"
c8841594bd8347c5b3db2d4570ddf8c91bcd5a8c,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/c8841594bd8347c5b3db2d4570ddf8c91bcd5a8c/github-scm-collector/README.md
https://github.com/Hygieia/Hygieia/raw/c8841594bd8347c5b3db2d4570ddf8c91bcd5a8c/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/8800296e85cc410dfc31c84a9925cfad461d5891/github-scm-collector/docker/README.md
https://github.com/Hygieia/Hygieia/raw/c8841594bd8347c5b3db2d4570ddf8c91bcd5a8c/github-scm-collector/docker/git-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/c8841594bd8347c5b3db2d4570ddf8c91bcd5a8c/github-scm-collector/pom.xml
"
8800296e85cc410dfc31c84a9925cfad461d5891,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/8800296e85cc410dfc31c84a9925cfad461d5891/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/8800296e85cc410dfc31c84a9925cfad461d5891/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/8800296e85cc410dfc31c84a9925cfad461d5891/github-scm-collector/docker/README.md
https://github.com/Hygieia/Hygieia/raw/8800296e85cc410dfc31c84a9925cfad461d5891/github-scm-collector/docker/properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/8800296e85cc410dfc31c84a9925cfad461d5891/github-scm-collector/pom.xml
"
75103a34c5c3d381d115217ddcf10689e05b7df7,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/75103a34c5c3d381d115217ddcf10689e05b7df7/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/75103a34c5c3d381d115217ddcf10689e05b7df7/jira-feature-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/75103a34c5c3d381d115217ddcf10689e05b7df7/jira-feature-collector/docker/jira-properties-builder.sh
"
51a766328df9386c0795170bf523e4b841a1513f,Jim Zucker,Jim Zucker,"https://github.com/Hygieia/Hygieia/raw/51a766328df9386c0795170bf523e4b841a1513f/docker-compose.yml
https://github.com/Hygieia/Hygieia/raw/51a766328df9386c0795170bf523e4b841a1513f/github-scm-collector/docker/Dockerfile
https://github.com/Hygieia/Hygieia/raw/51a766328df9386c0795170bf523e4b841a1513f/github-scm-collector/docker/github-properties-builder.sh
https://github.com/Hygieia/Hygieia/raw/eb8d82fba53ae1dcdc78f3f0d4768cb74d4d709b/github-settings.env
https://github.com/Hygieia/Hygieia/raw/eb8d82fba53ae1dcdc78f3f0d4768cb74d4d709b/jira-settings.env
"
21bf5cf93cfaddc4056290ddccdcb8123fd18174,amp5208,amp5208,"https://github.com/Hygieia/Hygieia/raw/21bf5cf93cfaddc4056290ddccdcb8123fd18174/core/src/test/java/com/capitalone/dashboard/repository/ScopeOwnerRepositoryTest.java
"
