2694986bb2cfc8cad687a97bbc83a1f3e9ee2d1c,Varun Mukka,nireeshT,"https://github.com/Hygieia/Hygieia/raw/2694986bb2cfc8cad687a97bbc83a1f3e9ee2d1c/collectors/feature/jira/src/main/java/com/capitalone/dashboard/client/story/StoryDataClientImpl.java
https://github.com/Hygieia/Hygieia/raw/2694986bb2cfc8cad687a97bbc83a1f3e9ee2d1c/collectors/feature/jira/src/main/resources/banner.txt
https://github.com/Hygieia/Hygieia/raw/2694986bb2cfc8cad687a97bbc83a1f3e9ee2d1c/collectors/feature/jira/src/test/java/com/capitalone/dashboard/client/story/StoryDataClientImplTests.java
https://github.com/Hygieia/Hygieia/raw/2694986bb2cfc8cad687a97bbc83a1f3e9ee2d1c/core/src/main/java/com/capitalone/dashboard/model/Feature.java
https://github.com/Hygieia/Hygieia/raw/2694986bb2cfc8cad687a97bbc83a1f3e9ee2d1c/core/src/main/java/com/capitalone/dashboard/model/FeatureIssueLink.java
"
86c59bc1a58977de906047cf68cda936297f8a22,Ragha Vema,GitHub,"https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/collectors/feature/rally/README.md
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/collectors/feature/rally/pom.xml
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/collectors/feature/rally/src/main/resources/logback.xml
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/collectors/library-policy/nexus-iq-collector/src/main/java/com/capitalone/dashboard/collector/DefaultNexusIQClient.java
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/collectors/library-policy/nexus-iq-collector/src/main/java/com/capitalone/dashboard/collector/NexusIQCollectorTask.java
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/hygieia-jenkins-plugin/pom.xml
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/DefaultHygieiaService.java
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/workflow/HygieiaArtifactPublishStep.java
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/workflow/HygieiaBuildPublishStep.java
https://github.com/Hygieia/Hygieia/raw/86c59bc1a58977de906047cf68cda936297f8a22/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/workflow/HygieiaDeployPublishStep.java
"
26c538b40af43c1a1bcadfe964aa348190f5573e,Satheesh Balachandran,Satheesh Balachandran,"https://github.com/Hygieia/Hygieia/raw/26c538b40af43c1a1bcadfe964aa348190f5573e/api-audit/src/main/java/com/capitalone/dashboard/model/DashboardAuditModel.java
"
7e2ac4be9799830a784deb33f8d38293d40f537e,Satheesh Balachandran,Satheesh Balachandran,"https://github.com/Hygieia/Hygieia/raw/7e2ac4be9799830a784deb33f8d38293d40f537e/hygieia-jenkins-plugin/pom.xml
"
7d5b213930e1b24bb2d2229e2067c33524b92274,Ragha Vema,GitHub,"https://github.com/Hygieia/Hygieia/raw/7d5b213930e1b24bb2d2229e2067c33524b92274/api-audit/src/main/java/com/capitalone/dashboard/model/DashboardAuditModel.java
"
c0625cba6337df940b8c8615e2f9b7d956d114d9,Ragha Vema,GitHub,"https://github.com/Hygieia/Hygieia/raw/c0625cba6337df940b8c8615e2f9b7d956d114d9/api-audit/src/main/java/com/capitalone/dashboard/model/DashboardAuditModel.java
"
82f0ab54a1d4e33d3d65857f02a095feb28ac026,Ragha Vema,GitHub,"https://github.com/Hygieia/Hygieia/raw/82f0ab54a1d4e33d3d65857f02a095feb28ac026/hygieia-jenkins-plugin/pom.xml
https://github.com/Hygieia/Hygieia/raw/82f0ab54a1d4e33d3d65857f02a095feb28ac026/hygieia-jenkins-plugin/src/main/java/hygieia/builder/BuildBuilder.java
https://github.com/Hygieia/Hygieia/raw/82f0ab54a1d4e33d3d65857f02a095feb28ac026/hygieia-jenkins-plugin/src/main/java/hygieia/utils/HygieiaUtils.java
https://github.com/Hygieia/Hygieia/raw/82f0ab54a1d4e33d3d65857f02a095feb28ac026/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/HygieiaGlobalListener.java
"
0f3b0c996f7ee86071b6b98f2c9579a93f804844,Satheesh Balachandran,Satheesh Balachandran,"https://github.com/Hygieia/Hygieia/raw/59a89b943aeafface7f2449797ce9377b455cdff/api-audit/.springBeans
"
59a89b943aeafface7f2449797ce9377b455cdff,Satheesh Balachandran,Satheesh Balachandran,"https://github.com/Hygieia/Hygieia/raw/59a89b943aeafface7f2449797ce9377b455cdff/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/workflow/HygieiaArtifactPublishStep.java
https://github.com/Hygieia/Hygieia/raw/59a89b943aeafface7f2449797ce9377b455cdff/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/workflow/HygieiaBuildPublishStep.java
https://github.com/Hygieia/Hygieia/raw/59a89b943aeafface7f2449797ce9377b455cdff/hygieia-jenkins-plugin/src/main/java/jenkins/plugins/hygieia/workflow/HygieiaDeployPublishStep.java
"
d61d8a7e4ed5d992a96b22573226ebe00cba99b6,Satheesh-Balachandran,GitHub,"https://github.com/Hygieia/Hygieia/raw/2734299fd0fb32c172887e7c0cdd4c5ddf7b5398/api-audit/.springBeans
"
2734299fd0fb32c172887e7c0cdd4c5ddf7b5398,Satheesh Balachandran,Satheesh Balachandran,
